banco;activo;pasivo;capital;mes
FICOHSA GUATEMALA, S. A.;3295446;2951320;344126;9
PROMERICA, S. A.;18930936;17209200;1721736;9
DE ANTIGUA, S. A.;1469913;1354030;115883;9
DE AMERICA CENTRAL, S. A.;33734254;30556609;3177644;9
AGROMERCANTIL DE GUATEMALA, S. A.;32411419;29423233;2988187;9
G&T CONTINENTAL, S. A.;59419330;54055231;5364098;9
AZTECA DE GUATEMALA, S. A.;1997823;1342423;655400;9
INV, S. A.;907060;782810;124250;9
CREDICORP, S. A.;507522;452624;54898;9
EL CREDITO HIPOTECARIO NACIONAL DE GUATEMALA;5773458;5486153;287306;10
INMOBILIARIO, S. A.;2044948;1701380;343568;10
DE LOS TRABAJADORES;30001132;25735495;4265637;10
INDUSTRIAL, S. A.;116110075;106951178;9158897;10
DE DESARROLLO RURAL, S. A.;91047476;82527220;8520256;10
INTERNACIONAL, S. A.;11909935;10812985;1096950;10
CITIBANK N.A. SUCURSAL GUATEMALA;3843377;3535972;307405;10
VIVIBANCO, S. A.;779308;622154;157154;10
FICOHSA GUATEMALA, S. A.;3269332;2919395;349937;10
PROMERICA, S. A.;18996017;17272498;1723519;10
DE ANTIGUA, S. A.;1470590;1354440;116150;10
DE AMERICA CENTRAL, S. A.;33548261;30323223;3225038;10
AGROMERCANTIL DE GUATEMALA, S. A.;32191720;29153857;3037863;10
G&T CONTINENTAL, S. A.;59560609;54159859;5400750;10
AZTECA DE GUATEMALA, S. A.;2032570;1366508;666062;10
INV, S. A.;895404;770341;125064;10
CREDICORP, S. A.;536807;481470;55337;10
EL CREDITO HIPOTECARIO NACIONAL DE GUATEMALA;5809277;5515940;293338;11
INMOBILIARIO, S. A.;2060595;1716839;343756;11
DE LOS TRABAJADORES;30278076;25937821;4340254;11
INDUSTRIAL, S. A.;115984105;106619629;9364476;11
DE DESARROLLO RURAL, S. A.;91460417;82843352;8617066;11
INTERNACIONAL, S. A.;11764199;10652823;1111376;11
CITIBANK N.A. SUCURSAL GUATEMALA;3805357;3492143;313215;11
VIVIBANCO, S. A.;779006;621122;157885;11
FICOHSA GUATEMALA, S. A.;3249575;2893180;356395;11
PROMERICA, S. A.;19061136;17328491;1732645;11
DE ANTIGUA, S. A.;1485212;1368805;116406;11
DE AMERICA CENTRAL, S. A.;34199384;30875227;3324157;11
AGROMERCANTIL DE GUATEMALA, S. A.;33320286;30234188;3086097;11
G&T CONTINENTAL, S. A.;59561468;54007615;5553853;11
AZTECA DE GUATEMALA, S. A.;2056519;1381735;674784;11
INV, S. A.;894188;768258;125930;11
CREDICORP, S. A.;563242;506857;56384;11
EL CREDITO HIPOTECARIO NACIONAL DE GUATEMALA;5686082;5382124;303958;12
INMOBILIARIO, S. A.;2082353;1739845;342508;12
DE LOS TRABAJADORES;30493687;26082654;4411033;12
INDUSTRIAL, S. A.;119259432;109728440;9530991;12
DE DESARROLLO RURAL, S. A.;92682411;83969569;8712841;12
INTERNACIONAL, S. A.;11893705;10760062;1133643;12
CITIBANK N.A. SUCURSAL GUATEMALA;3646202;3326769;319433;12
VIVIBANCO, S. A.;816127;657466;158660;12
FICOHSA GUATEMALA, S. A.;3333620;2968780;364840;12
PROMERICA, S. A.;18914042;17151004;1763038;12
DE ANTIGUA, S. A.;1504168;1387371;116797;12
DE AMERICA CENTRAL, S. A.;35097326;31750880;3346447;12
AGROMERCANTIL DE GUATEMALA, S. A.;32880175;29749604;3130571;12
G&T CONTINENTAL, S. A.;60133950;54529597;5604353;12
AZTECA DE GUATEMALA, S. A.;2064865;1381462;683404;12
INV, S. A.;907157;780402;126754;12
CREDICORP, S. A.;590360;532896;57464;12
